Stream,Group,Trend,Segment,σ_z (m),σ_w (m),L_sin (m),σ_L_sin (m),L_norm (m),σ_L_norm (m),Δz (m),σ_elev (m),slope_l,σ_slope_l,slope_d,σ_slope_d,σ_slope_model,σ_elev_model (m)
sia_1,Siachen,decreasing,0,5,3,1999.44,72.4362,1920.62,6,34.82,5,,,,,0.004118,5.0
sia_1,Siachen,decreasing,1,5,3,1995.37,74.2765,1887.41,6,50.356,5,0.017659,0.001873,0.018525,0.00184,0.002832,5.5985
sia_1,Siachen,decreasing,2,5,3,1996.57,72.1873,1886.62,6,42.265,5,0.022998,0.002845,0.024326,0.002879,0.002299,6.4423
sia_1,Siachen,decreasing,3,5,3,1995.99,72.3118,1849.8,6,33.378,5,0.022743,0.003505,0.024302,0.003641,0.001987,7.2809
sia_1,Siachen,decreasing,4,5,3,1997.34,69.2604,1905.85,6,27.595,5,0.015808,0.002916,0.016808,0.003046,0.001775,8.1022
sia_1,Siachen,decreasing,5,5,3,1995.74,69.6491,1718.04,6,41.965,5,0.013785,0.001711,0.015189,0.001811,0.00162,8.913
sia_2,Siachen,constant,0,5,3,1998.22,69.5845,1928.63,6,37.709,5,,,,,0.001237,5.0
sia_2,Siachen,constant,1,5,3,1993.91,76.4264,1867.49,6,47.863,5,0.018684,0.002079,0.019649,0.002054,0.001097,5.0639
sia_2,Siachen,constant,2,5,3,1997.85,72.374,1880.04,6,43.656,5,0.022171,0.002663,0.023615,0.002706,0.001058,5.1298
sia_2,Siachen,constant,3,5,3,1992.42,71.4983,1873.78,6,37.117,5,0.022559,0.003145,0.02398,0.003231,0.001046,5.2056
sia_2,Siachen,constant,4,5,3,1998.91,71.1829,1877.71,6,24.668,5,0.015365,0.003162,0.016348,0.003314,0.001041,5.2974
sia_2,Siachen,constant,5,5,3,1996.36,68.7386,1880.44,6,42.473,5,0.016014,0.001964,0.017024,0.002005,0.001037,5.3945
sia_2,Siachen,constant,6,5,3,1994.93,68.6076,1907.18,6,24.039,5,0.016826,0.003547,0.017731,0.003688,0.001036,5.517
sia_2,Siachen,constant,7,5,3,1995.65,71.4353,1846.05,6,45.656,5,0.018669,0.002151,0.01985,0.002175,0.001035,5.668
sia_2,Siachen,constant,8,5,3,1995.57,70.2922,1694.13,6,22.696,5,0.016878,0.003765,0.019028,0.004192,0.001034,5.8145
sia_2,Siachen,constant,9,5,3,1997.67,70.3562,1689.0,6,42.116,5,0.012808,0.001586,0.015118,0.001796,0.001033,5.9877
sia_2,Siachen,constant,10,5,3,1995.08,70.3562,1588.88,6,36.047,5,0.017855,0.002555,0.021749,0.003018,0.001033,6.1693
sia_2,Siachen,constant,11,5,3,1999.37,70.739,1480.16,6,44.474,5,0.027552,0.003247,0.035859,0.004034,0.001033,6.364
sia_2,Siachen,constant,12,5,3,1997.39,71.7496,1761.65,6,66.557,5,0.023833,0.001985,0.029383,0.00221,0.001033,6.5766
sia_2,Siachen,constant,13,5,3,1995.86,69.6491,1723.19,6,29.701,5,0.02216,0.00381,0.025393,0.004276,0.001032,6.7844
sia_2,Siachen,constant,14,5,3,1994.08,69.0,1692.52,6,64.773,5,0.027636,0.002338,0.032282,0.002495,0.001032,7.0137
sia_2,Siachen,constant,15,5,3,1996.2,68.4763,1434.68,6,26.848,5,0.021207,0.004016,0.02706,0.005041,0.001032,7.2439
sia_2,Siachen,constant,16,5,3,1996.64,69.0652,1351.65,6,41.089,5,0.015036,0.001902,0.021547,0.002624,0.001032,7.4847
sia_2,Siachen,constant,17,5,3,1997.48,67.4166,970.68,6,25.836,5,0.018433,0.003621,0.031703,0.006139,0.001032,7.7364
sia_3,Siachen,decreasing,0,5,3,1997.78,71.2461,1936.15,6,41.317,5,,,,,0.00301,5.0
sia_3,Siachen,decreasing,1,5,3,1997.55,72.3118,1922.77,6,48.162,5,0.021617,0.002377,0.022381,0.002325,0.002,5.4814
sia_3,Siachen,decreasing,2,5,3,1995.46,71.9375,1905.85,6,44.188,5,0.023423,0.002782,0.024428,0.002765,0.001612,6.1189
sia_3,Siachen,decreasing,3,5,3,1997.12,71.8123,1865.05,6,38.822,5,0.021181,0.002832,0.022427,0.002889,0.00139,6.7784
sia_3,Siachen,decreasing,4,5,3,1995.78,70.5479,1903.43,6,25.467,5,0.017647,0.00352,0.018698,0.003671,0.00124,7.4196
sia_3,Siachen,decreasing,5,5,3,1995.7,69.5198,1808.34,6,46.957,5,0.015574,0.001745,0.016748,0.001784,0.001131,8.0515
sia_4,Siachen,constant,0,5,4,1998.7,91.0385,1936.92,8,38.502,5,,,,,0.001352,5.0
sia_4,Siachen,constant,1,5,4,1995.85,94.3186,1930.86,8,51.316,5,0.021657,0.002345,0.022366,0.002181,0.001135,5.0765
sia_4,Siachen,constant,2,5,4,1994.36,91.6515,1898.01,8,40.041,5,0.023498,0.003127,0.024488,0.00306,0.001083,5.1385
sia_4,Siachen,constant,3,5,4,1993.91,94.9105,1908.47,8,35.251,5,0.01884,0.002819,0.01974,0.002801,0.001068,5.1973
sia_4,Siachen,constant,4,5,4,1998.97,94.9105,1848.63,8,40.938,5,0.020145,0.00264,0.021409,0.002616,0.001059,5.2428
sia_4,Siachen,constant,5,5,4,1996.08,96.1665,1864.78,8,41.314,5,0.01735,0.00226,0.018665,0.00226,0.001055,5.2927
sia_4,Siachen,constant,6,5,4,1997.18,95.0789,1811.41,8,20.874,5,0.017386,0.004246,0.018886,0.004524,0.001052,5.337
sia_4,Siachen,constant,7,5,4,1993.87,102.3719,1654.93,8,29.495,5,0.010022,0.001775,0.011539,0.001957,0.001051,5.4226
sia_4,Siachen,constant,8,5,4,1995.75,99.4384,1731.46,8,36.001,5,0.018636,0.00275,0.021956,0.003051,0.001049,5.4624
sia_4,Siachen,constant,9,5,4,1997.2,96.2497,1629.48,8,17.036,5,0.014589,0.004339,0.017332,0.005088,0.001048,5.5077
sia_4,Siachen,constant,10,5,4,1998.43,95.9166,1655.68,8,47.077,5,0.015351,0.001789,0.01867,0.001985,0.001047,5.5696
sia_4,Siachen,constant,11,5,4,1994.14,92.7793,1629.43,8,55.685,5,0.030213,0.003055,0.03672,0.003302,0.001046,5.6235
sia_4,Siachen,constant,12,5,4,1997.58,92.7793,1456.65,8,27.048,5,0.013573,0.002587,0.017556,0.003247,0.001046,5.6985
sia_4,Siachen,constant,13,5,4,1994.03,94.8262,1116.87,8,34.931,5,0.017742,0.002676,0.027518,0.003944,0.001046,5.7857
sia_4,Siachen,constant,14,5,4,1997.52,91.6515,979.53,8,18.05,5,0.016016,0.004497,0.030495,0.008451,0.001045,5.8516
sia_4,Siachen,constant,15,5,4,1997.78,93.6376,1406.83,8,59.236,5,0.017115,0.001652,0.028654,0.002424,0.001045,5.9498
sia_4,Siachen,constant,16,5,4,1991.92,95.5824,1290.63,8,37.306,5,0.017727,0.002524,0.02622,0.003518,0.001045,6.0489
sia_4,Siachen,constant,17,5,4,1998.43,95.6661,1281.33,8,35.749,5,0.022571,0.003337,0.035019,0.004903,0.001045,6.1445
sia_4,Siachen,constant,18,5,4,1994.73,91.6515,1124.23,8,17.979,5,0.016116,0.004543,0.026753,0.007442,0.001045,6.2252
sia_4,Siachen,constant,19,5,4,1998.22,93.8936,1224.53,8,60.285,5,0.01635,0.001559,0.027796,0.002313,0.001045,6.3404
sia_4,Siachen,constant,20,5,4,1992.75,92.8655,1256.54,8,22.24,5,0.020385,0.00468,0.03279,0.007375,0.001045,6.4427
sia_4,Siachen,constant,21,5,4,1997.49,96.4987,1085.71,8,59.448,5,0.018349,0.00178,0.031258,0.002639,0.001045,6.5678
